EQTL_SNP	GWAS_SNP	GWAS_TRAIT	EQTL_CELL_TYPE	EQTL_GENE	EQTL_CELL_count
rs4840565	rs2409780	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	CD4	BLK	1
rs538147	rs1199047	Autoimmune traits	CD4	RPS6KA4	1
rs57588792	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	CD8	HLA-DQB2	1
rs57588792	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	CD8	HLA-DQB2	1
rs60182980	rs1405655	COVID-19 (hospitalized covid vs population)	ncMono	NAPSA	2
rs60182980	rs1405655	COVID-19 (hospitalized covid vs population)	cMono	NAPSA	2
rs62063281	rs63750417	COVID-19 (hospitalized covid vs population)	CD8	LINC02210-CRHR1	2
rs62063281	rs63750417	COVID-19 (hospitalized covid vs population)	CD4	LINC02210-CRHR1	2
rs62149419	rs67574266	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	NK	REL	1
rs67316642	rs761357	Autoimmune traits	B	AHI1	1
rs67574266	rs67574266	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	CD8	REL	1
rs6764769	rs1344674	Hay fever and/or eczema	cMono	ZBTB38	1
rs698720	rs1728785	Ulcerative colitis	NK	ZFP90	1
rs7221605	rs7359623	Hay fever and/or eczema	CD4	ORMDL3	1
rs73510898	rs73510898	COVID-19 (critical illness vs population or mild symptoms)	cMono	ZGLP1	1
rs73510898	rs73510898	COVID-19 (critical illness vs population or mild symptoms)	cMono	ZGLP1	1
rs73510898	rs12720356	Ulcerative colitis	cMono	ZGLP1	1
rs73510898	rs12720356	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	cMono	ZGLP1	1
rs7705093	rs1363907	Ulcerative colitis	PB	ERAP2	8
rs7705093	rs1363907	Ulcerative colitis	ncMono	ERAP2	8
rs7705093	rs1363907	Ulcerative colitis	HSC	ERAP2	8
rs7705093	rs1363907	Ulcerative colitis	B	ERAP2	8
rs7705093	rs1363907	Ulcerative colitis	GDT	ERAP2	8
rs7705093	rs1363907	Ulcerative colitis	DP	ERAP2	8
rs7705093	rs1363907	Ulcerative colitis	DN	ERAP2	8
rs7705093	rs1363907	Ulcerative colitis	DC	ERAP2	8
rs8006314	rs10139154	Amyotrophic lateral sclerosis	cMono	SCFD1	1
rs873458	rs28718032	Autoimmune neurological syndromes with anti-GAD65 autoantibodies	cMono	MFN2	1
rs907092	rs12946510	Ulcerative colitis	B	ORMDL3	1
rs907092	rs7359623	Hay fever and/or eczema	B	ORMDL3	1
rs907092	rs11078928	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	B	ORMDL3	1
rs922483	rs2409780	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	CD8	BLK	2
rs922483	rs2409780	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	B	BLK	2
rs9260057	rs28749131	Hay fever and/or eczema	NK	HLA-A	1
rs9268849	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	DN	HLA-DQA2	1
rs9268849	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	DN	HLA-DQA2	1
rs9271368	rs9272545	Hay fever and/or eczema	B	HLA-DQB2	1
rs9271589	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	CD8	HLA-DQA2	3
rs9271589	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	DC	HLA-DQA2	3
rs9271589	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	cMono	HLA-DQA2	3
rs9271589	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	CD8	HLA-DQA2	3
rs9271589	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	DC	HLA-DQA2	3
rs9271589	rs9271609	COVID-19 (critical illness vs population or mild symptoms)	cMono	HLA-DQA2	3
rs9611155	rs2069235	Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	NK	SYNGR1	1
rs9806836	rs7404095	Ulcerative colitis	cMono	PRKCB	1
