QUERY_SNP	GWAS_SNP	GWAS_TRAIT	GWAS_STUDY	EQTL_CELL_TYPE	EQTL_GENE_NAME	EQTL_CELL_count
rs1467513	rs4646093	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	DNAJC16	1
rs1980476	rs12040737	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Naïve/Immature B Cell	TCEB3	1
rs2242576	rs11264349	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Naive/Central memory T cell	SCAMP3	1
rs2502989	rs6658703	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	HMGCL	1
rs4660731	rs34464308	COVID-19	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	CD4 Naive/Central memory T cell	MED8	1
rs481762	rs481762	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Effector memory	KCNAB2	1
rs4844539	rs4844539	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-534L20.5	1
rs4908411	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	PHACTR4	1
rs4908414	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Naïve/Immature B Cell	PHACTR4	1
rs519202	rs12040737	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	TCEB3	1
rs519202	rs12040737	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Naïve/Immature B Cell	RPL11	1
rs610367	rs610367	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Classic Monocyte	RNASEL	1
rs6577536	rs2065603	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Naïve/Immature B Cell	ENO1	1
rs6679229	rs4646093	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Naïve/Immature B Cell	DNAJC16	1
rs6684681	rs4844539	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-534L20.5	1
rs868937	rs4844539	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-534L20.5	1
rs871782	rs4844539	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-534L20.5	1
rs9426652	rs12035087	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	EIF4G3	1
rs944769	rs4844539	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-534L20.5	1
rs9660549	rs11247791	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Effector memory	PHACTR4	1
rs12414280	rs2270550	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Naive/Central memory T cell	VCL	1
rs12783632	rs1248633	COVID-19 (severe vs population)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	CD8 Effector memory	DLG5	1
rs12783632	rs1248633	COVID-19 (severe vs tested, not severe)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	CD8 Effector memory	DLG5	1
rs1874151	rs2270550	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Effector memory/TEMRA	VCL	2
rs1874151	rs2270550	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	VCL	2
rs2579139	rs1248633	COVID-19 (severe vs population)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Natural Killer Cell	DLG5	1
rs2579139	rs1248633	COVID-19 (severe vs tested, not severe)	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Natural Killer Cell	DLG5	1
rs10437583	rs10437608	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	HTATIP2	1
rs10437583	rs11025535	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	HTATIP2	1
rs10437583	rs10833313	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	HTATIP2	1
rs11021318	rs666398	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	CEP57	1
rs11603111	rs28759035	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	KRTAP5-2	1
rs11604635	rs28759035	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	KRTAP5-2	1
rs11821432	rs28759035	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	KRTAP5-2	1
rs1982827	rs28759035	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	KRTAP5-2	1
rs2316521	rs2742478	Morbidity in COVID-19 (deceased vs asymptomatic)	First report on genome wide association study in western Indian population reveals host genetic factors for COVID-19 severity and outcome.	CD4 Naive/Central memory T cell	TMEM9B-AS1	1
rs59483236	rs28759035	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	KRTAP5-2	1
rs61867536	rs28759035	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	KRTAP5-AS1	1
rs61869668	rs28759035	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	KRTAP5-AS1	1
rs10784771	rs7135092	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Classic Monocyte	YEATS4	1
rs11066451	rs10774671	COVID-19 (critical illness vs population)	Mapping the human genetic architecture of COVID-19.	Non-classic Monocyte	OAS1	1
rs11066451	rs10774671	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	Non-classic Monocyte	OAS1	1
rs11066451	rs10774671	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Non-classic Monocyte	OAS1	1
rs11066451	rs10774671	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Non-classic Monocyte	OAS1	1
rs11066451	rs10774671	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Non-classic Monocyte	OAS1	1
rs11066451	rs2660	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Non-classic Monocyte	OAS1	1
rs11066451	rs2660	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Non-classic Monocyte	OAS1	1
rs11066451	rs6489867	COVID-19 (critical illness vs population)	Genetic mechanisms of critical illness in Covid-19.	Non-classic Monocyte	OAS1	1
rs11066451	rs10774679	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	Non-classic Monocyte	OAS1	1
rs11066451	rs10774679	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	Non-classic Monocyte	OAS1	1
rs11066451	rs10774679	SARS-CoV-2 infection	A first update on mapping the human genetic architecture of COVID-19.	Non-classic Monocyte	OAS1	1
rs11066451	rs2269899	COVID-19 with respiratory failure requiring mechanical ventilation	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Non-classic Monocyte	OAS1	1
rs11177615	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	YEATS4	1
rs11561378	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Effector memory	YEATS4	1
rs1670737	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Classic Monocyte	RP11-1143G9.4	3
rs1670737	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Dendritic Cell	RP11-1143G9.4	3
rs1670737	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Non-classic Monocyte	RP11-1143G9.4	3
rs2285934	rs10774671	COVID-19 (critical illness vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Effector memory	OAS1	1
rs2285934	rs10774671	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD8 Effector memory	OAS1	1
rs2285934	rs10774671	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD8 Effector memory	OAS1	1
rs2285934	rs10774671	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD8 Effector memory	OAS1	1
rs2285934	rs10774671	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Effector memory	OAS1	1
rs2285934	rs2660	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Effector memory	OAS1	1
rs2285934	rs2660	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD8 Effector memory	OAS1	1
rs2285934	rs6489867	COVID-19 (critical illness vs population)	Genetic mechanisms of critical illness in Covid-19.	CD8 Effector memory	OAS1	1
rs2285934	rs10774679	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Effector memory	OAS1	1
rs2285934	rs10774679	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD8 Effector memory	OAS1	1
rs2285934	rs10774679	SARS-CoV-2 infection	A first update on mapping the human genetic architecture of COVID-19.	CD8 Effector memory	OAS1	1
rs2285934	rs2269899	COVID-19 with respiratory failure requiring mechanical ventilation	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD8 Effector memory	OAS1	1
rs35908046	rs2417187	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Effector memory/TEMRA	DUSP16	1
rs35908046	rs10772563	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Effector memory/TEMRA	DUSP16	1
rs4767029	rs10774671	COVID-19 (critical illness vs population)	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs10774671	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs10774671	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs10774671	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs10774671	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs2660	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs2660	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs6489867	COVID-19 (critical illness vs population)	Genetic mechanisms of critical illness in Covid-19.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs10774679	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs10774679	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs10774679	SARS-CoV-2 infection	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	OAS1	1
rs4767029	rs2269899	COVID-19 with respiratory failure requiring mechanical ventilation	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	CD4 Naive/Central memory T cell	OAS1	1
rs531095	rs2686378	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	P2RX7	1
rs57954211	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	YEATS4	2
rs57954211	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	YEATS4	2
rs685934	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Non-classic Monocyte	YEATS4	1
rs7136238	rs2249093	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Naïve/Immature B Cell	YEATS4	1
rs1028770	rs7336581	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	RBM26	1
rs4885625	rs7336581	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Naïve/Immature B Cell	RBM26	1
rs943709	rs7336581	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	RBM26	1
rs9567948	rs9591123	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	LINC00562	1
rs11156667	rs11845830	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	RP11-596D21.1	1
rs11622544	rs11845830	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	RP11-596D21.1	1
rs11625148	rs11845830	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Naive/Central memory T cell	RP11-596D21.1	1
rs2094130	rs11845830	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	RP11-596D21.1	1
rs34247115	rs11845830	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	RP11-596D21.1	1
rs60106058	rs11850949	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	PLD4	1
rs61980863	rs7569	Mortality in COVID-19	First report on genome wide association study in western Indian population reveals host genetic factors for COVID-19 severity and outcome.	CD8 Effector memory	NPC2	1
rs66871576	rs10140801	COVID-19 severity	Genome-wide association study of hospitalized COVID-19 patients in the United Arab Emirates.	CD4 Naive/Central memory T cell	LGALS3	1
rs8005942	rs11845830	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Memory B Cell	RP11-596D21.1	1
rs955256	rs998871	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Naive/Central memory T cell	LGALS3	1
rs11631331	rs12903154	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Naive/Central memory T cell	ZWILCH	1
rs1053871	rs1053997	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-473M20.14	1
rs11639743	rs11641087	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Effector memory	MAF	1
rs11647815	rs1053997	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	RP11-473M20.9	1
rs11649450	rs1053997	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Effector memory	RP11-473M20.14	1
rs1554999	rs1554999	COVID-19	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	CD4 Naive/Central memory T cell	IL32	5
rs1554999	rs1554999	COVID-19	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	CD4 SOX4 T cell	IL32	5
rs1554999	rs1554999	COVID-19	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Natural Killer Recruiting Cell	IL32	5
rs1554999	rs1554999	COVID-19	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	CD8 Naive/Central memory T cell	IL32	5
rs1554999	rs1554999	COVID-19	A year of COVID-19 GWAS results from the GRASP portal reveals potential genetic risk factors.	Natural Killer Cell	IL32	5
rs2194337	rs1053997	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD8 Effector memory	RP11-473M20.9	1
rs2735537	rs1053997	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-473M20.9	1
rs35379058	rs117169628	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs35379058	rs117169628	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs35379058	rs117169628	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs35379058	rs117169628	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs35379058	rs117169628	COVID-19 (critical illness vs population or mild symptoms)	Whole genome sequencing reveals host factors underlying critical Covid-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs35379058	rs117169628	COVID-19 (critical illness vs population or mild symptoms)	Whole genome sequencing reveals host factors underlying critical Covid-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs8043697	rs117169628	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs8043697	rs117169628	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs8043697	rs117169628	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs8043697	rs117169628	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs8043697	rs117169628	COVID-19 (critical illness vs population or mild symptoms)	Whole genome sequencing reveals host factors underlying critical Covid-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs8043697	rs117169628	COVID-19 (critical illness vs population or mild symptoms)	Whole genome sequencing reveals host factors underlying critical Covid-19.	CD4 Naive/Central memory T cell	SLC22A31	1
rs9924928	rs1053997	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Natural Killer Cell	RP11-473M20.14	1
rs12604031	rs10153257	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	Non-classic Monocyte	ABCC3	1
rs12946093	rs892964	Resistance to COVID-19 infection (Exposed negative vs positive)	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-936I5.1	1
rs12946093	rs2898645	Severe COVID-19 infection	Better safe than sorry-Whole-genome sequencing indicates that missense variants are significant in susceptibility to COVID-19.	CD4 Naive/Central memory T cell	RP11-936I5.1	1
rs1378358	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs17769552	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs63750417	COVID-19 (hospitalized covid vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs112572874	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs8080583	COVID-19 (critical illness vs population)	GWAS and meta-analysis identifies 49 genetic variants underlying critical COVID-19.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs73984689	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs1819040	COVID-19 (hospitalized vs population)	Mapping the human genetic architecture of COVID-19.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs1819040	SARS-CoV-2 infection	Mapping the human genetic architecture of COVID-19.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs1819040	COVID-19 with respiratory failure	Detailed stratified GWAS analysis for severe COVID-19 in four European populations.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs2732631	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Memory B Cell	KANSL1-AS1	1
rs1378358	rs199525	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Memory B Cell	KANSL1-AS1	1
rs1724390	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	LRRC37A2	1
rs1724390	rs56328224	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
rs1724390	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	LRRC37A2	1
rs1724390	rs61667602	COVID-19 (hospitalized vs population)	A first update on mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs1724390	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	CD4 Naive/Central memory T cell	LRRC37A2	1
rs1724390	rs61667602	COVID-19 (critical illness vs population)	A first update on mapping the human genetic architecture of COVID-19.	Plasma Cell	KANSL1-AS1	1
rs1724390	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	CD4 Naive/Central memory T cell	LRRC37A2	1
rs1724390	rs61667602	COVID-19 severity	Genetic risk factors and COVID-19 severity in Brazil: results from BRACOVID study.	Plasma Cell	KANSL1-AS1	1
