Mode	Cell	Chr	Gene	SNP	SNP_TSS	maf	pq_val	slope	slope_se
cis-independent	CD8	7	ENSG00000136240	rs6796	-21455	0.296053	1.92473e-09	-0.538392	0.0759655
cis-independent	CD8	7	ENSG00000121716	rs111344110	-54491	0.197368	7.8087e-09	0.838737	0.124671
cis-independent	CD8	7	ENSG00000211710	rs2003791	751	0.513158	8.95333e-09	0.751526	0.112295
cis-independent	CD8	7	ENSG00000233306	rs56356594	-199625	0.131579	2.39633e-08	-1.1503	0.178664
cis-independent	CD8	7	ENSG00000211753	rs7794495	-13685	0.611842	3.28068e-08	0.914655	0.14388
cis-independent	CD8	7	ENSG00000188191	rs13229325	-124608	0.578947	5.51769e-08	-0.54899	0.0882319
cis-independent	CD8	7	ENSG00000188186	rs1141057	-111173	0.506579	7.60502e-08	-0.626983	0.102137
cis-independent	CD8	7	ENSG00000227191	rs62443295	-83642	0.125	7.6064e-08	-0.911357	0.148464
cis-independent	CD8	7	ENSG00000135205	rs12704826	93934	0.184211	7.62778e-08	-1.05038	0.171132
cis-independent	CD8	7	ENSG00000127951	rs2075761	-184	0.0789474	1.70478e-07	1.42661	0.240671
cis-independent	CD8	7	ENSG00000276953	rs10243591	161980	0.618421	3.42719e-07	0.855276	0.148903
cis-independent	CD8	7	ENSG00000277149	rs78439690	-109935	0.743421	4.82538e-07	-0.881424	0.155913
cis-independent	CD8	7	ENSG00000106400	rs1056678	-811	0.230263	4.89938e-07	0.625246	0.110677
cis-independent	CD8	7	ENSG00000157800	rs6464800	-579809	0.565789	6.09505e-07	0.784296	0.14027
cis-independent	CD8	7	ENSG00000158623	rs3800564	-182642	0.789474	7.61383e-07	0.952913	0.172252
cis-independent	CD8	7	ENSG00000106049	rs4478473	-49301	0.315789	1.31585e-06	0.754355	0.140065
cis-independent	CD8	7	ENSG00000177683	rs40911	-31509	0.513158	2.68747e-06	0.463898	0.0893317
cis-independent	CD8	7	ENSG00000136250	rs6462691	-34149	0.532895	2.74053e-06	-0.611874	0.117948
cis-independent	CD8	7	ENSG00000127946	rs74220879	-55968	0.0723684	4.64669e-06	1.29476	0.25671
cis-independent	CD8	7	ENSG00000211714	rs2854542	-26217	0.703947	4.98181e-06	0.885603	0.176254
cis-independent	CD8	7	ENSG00000128534	rs10233018	-300490	0.440789	5.93956e-06	-0.518136	0.104121
cis-independent	CD8	8	ENSG00000147813	rs9657360	19368	0.769737	9.93539e-14	1.24261	0.128889
cis-independent	CD8	8	ENSG00000161016	rs2954658	1524	0.539474	3.36693e-13	-0.722623	0.0775393
cis-independent	CD8	8	ENSG00000170873	rs10099060	-164621	0.657895	1.20382e-07	-0.556475	0.0924571
cis-independent	CD8	8	ENSG00000176209	rs2923424	-14075	0.565789	1.46223e-07	-0.784977	0.131534
cis-independent	CD8	8	ENSG00000177570	rs2514596	-5068	0.875	1.98341e-07	-0.872991	0.148269
cis-independent	CD8	8	ENSG00000136573	rs922483	7508	0.296053	7.33857e-07	-0.891271	0.160824
cis-independent	CD8	8	ENSG00000071894	rs35817095	-17409	0.289474	1.02092e-06	-0.698396	0.128058
cis-independent	CD8	9	ENSG00000172785	rs3008143	14680	0.539474	9.97787e-25	-1.303	0.0755164
cis-independent	CD8	9	ENSG00000106733	rs3752955	-18417	0.513158	1.09281e-11	-0.917597	0.109048
cis-independent	CD8	9	ENSG00000164978	rs66653119	40177	0.184211	4.52141e-11	1.234	0.153311
cis-independent	CD8	9	ENSG00000137106	rs10973326	-3167	0.355263	4.63179e-11	1.07573	0.13375
cis-independent	CD8	9	ENSG00000197958	rs7033779	-22875	0.513158	6.98759e-10	0.445397	0.0606228
cis-independent	CD8	9	ENSG00000119471	rs4979108	-2256	0.25	4.87456e-08	-0.883442	0.141253
cis-independent	CD8	9	ENSG00000135002	rs2490573	-19815	0.618421	6.37652e-08	0.667225	0.107887
cis-independent	CD8	9	ENSG00000107020	rs7875330	-73027	0.625	9.66039e-08	-0.568075	0.0934914
cis-independent	CD8	9	ENSG00000136819	rs11789220	-7396	0.171053	8.55745e-07	-0.809293	0.147119
cis-independent	CD8	9	ENSG00000056558	rs2159778	1278	0.539474	9.32284e-07	0.732339	0.133686
cis-independent	CD8	9	ENSG00000198876	rs10972264	810831	0.105263	1.02264e-06	0.82572	0.151416
cis-independent	CD8	10	ENSG00000107796	rs1324551	38985	0.513158	1.57721e-13	-0.795786	0.0836006
cis-independent	CD8	10	ENSG00000165752	rs34305316	83641	0.309211	5.28446e-13	1.12332	0.122082
cis-independent	CD8	10	ENSG00000079332	rs77096551	-48472	0.401316	1.23413e-10	-0.652511	0.0837488
cis-independent	CD8	10	ENSG00000166272	rs284862	68375	0.578947	1.67459e-10	0.871536	0.112995
cis-independent	CD8	10	ENSG00000180817	rs7474828	16181	0.25	2.4608e-10	0.50044	0.0657229
cis-independent	CD8	10	ENSG00000138185	rs2096219	163979	0.453947	1.99565e-08	0.861462	0.132826
cis-independent	CD8	10	ENSG00000148834	rs2164624	18330	0.342105	4.55065e-08	0.596736	0.0951401
cis-independent	CD8	10	ENSG00000165672	rs7898879	319924	0.927632	6.81932e-08	0.688954	0.111716
cis-independent	CD8	10	ENSG00000122359	rs12773794	-7884	0.171053	3.57649e-07	0.752938	0.131343
cis-independent	CD8	10	ENSG00000148690	rs1998840	-1977	0.111842	4.73788e-07	-1.11983	0.197913
cis-independent	CD8	10	ENSG00000204161	rs11101006	5948	0.381579	8.12208e-07	-0.6625	0.12013
cis-independent	CD8	10	ENSG00000165669	rs397813956	637990	0.0526316	8.40903e-07	-1.42514	0.258853
cis-independent	CD8	10	ENSG00000107521	rs11189559	-103902	0.269737	1.70462e-06	-0.642685	0.120894
cis-independent	CD8	10	ENSG00000203791	rs2559509	102827	0.552632	1.82057e-06	-0.744207	0.14046
cis-independent	CD8	10	ENSG00000197771	rs11199297	492328	0.0592105	2.00355e-06	-1.13239	0.214772
cis-independent	CD8	10	ENSG00000138107	rs2863708	-58177	0.822368	2.37083e-06	-0.593515	0.113548
cis-independent	CD8	10	ENSG00000151150	rs10761552	335722	0.289474	3.41194e-06	-0.76687	0.149543
cis-independent	CD8	11	ENSG00000142089	rs14408	-12181	0.375	4.77431e-23	1.37009	0.0851728
cis-independent	CD8	11	ENSG00000166387	rs7126061	13893	0.644737	3.73594e-16	1.18151	0.105974
cis-independent	CD8	11	ENSG00000166435	rs2076980	-209791	0.25	5.7654e-15	1.13211	0.108842
cis-independent	CD8	11	ENSG00000172543	rs568617	5961	0.190789	1.4343e-14	-2.21192	0.216664
cis-independent	CD8	11	ENSG00000134809	rs2848626	-14240	0.763158	2.25741e-14	-1.18718	0.118306
cis-independent	CD8	11	ENSG00000196655	rs58709307	-11911	0.263158	5.22437e-12	0.888651	0.103268
cis-independent	CD8	11	ENSG00000172725	rs35392564	40159	0.394737	2.70754e-11	-0.949371	0.116048
cis-independent	CD8	11	ENSG00000134824	rs174538	-372	0.309211	6.28191e-11	1.02916	0.129218
cis-independent	CD8	11	ENSG00000075239	rs145335257	-4920	0.171053	3.8589e-10	0.75937	0.101261
cis-independent	CD8	11	ENSG00000142089	rs11602705	-17832	0.171053	8.55125e-09	0.722592	0.107484
cis-independent	CD8	11	ENSG00000149485	rs174544	-16723	0.335526	2.67172e-08	0.935067	0.145871
cis-independent	CD8	11	ENSG00000154134	rs10790714	14699	0.361842	5.72431e-08	0.685056	0.110269
cis-independent	CD8	11	ENSG00000132740	rs10792006	50973	0.565789	1.46963e-07	-0.71825	0.12038
cis-independent	CD8	11	ENSG00000185201	rs6421984	1963	0.546053	2.81092e-07	-0.67837	0.117038
cis-independent	CD8	11	ENSG00000166471	rs373365005	-30781	0.151316	3.56925e-07	-1.08972	0.190075
cis-independent	CD8	11	ENSG00000149084	rs34389751	104415	0.625	7.92681e-07	0.716217	0.129718
cis-independent	CD8	11	ENSG00000158483	rs7102285	-3212	0.546053	1.2938e-06	-0.699296	0.129733
cis-independent	CD8	11	ENSG00000172543	rs111953392	-51584	0.164474	1.86747e-06	1.118	0.210888
cis-independent	CD8	11	ENSG00000173715	rs140151051	-304086	0.0723684	2.76387e-06	-1.62175	0.312755
cis-independent	CD8	12	ENSG00000197728	rs10876864	-34051	0.605263	2.15138e-20	-1.32821	0.0949484
cis-independent	CD8	12	ENSG00000231887	rs148183795	93975	0.559211	9.58295e-12	-0.913077	0.108076
cis-independent	CD8	12	ENSG00000255819	rs10845127	19621	0.664474	1.20466e-09	0.841048	0.116691
cis-independent	CD8	12	ENSG00000127337	rs35938370	-69621	0.460526	7.40057e-09	-0.696482	0.103314
cis-independent	CD8	12	ENSG00000184752	rs835044	67	0.611842	1.54356e-08	-0.596171	0.0909905
cis-independent	CD8	12	ENSG00000136003	rs4964723	-7076	0.888158	2.18755e-08	-1.04213	0.161273
cis-independent	CD8	12	ENSG00000176422	rs7298123	-2290	0.769737	2.40262e-08	-0.956765	0.148619
cis-independent	CD8	12	ENSG00000184293	rs10772090	11859	0.394737	5.08566e-08	-0.783855	0.125551
cis-independent	CD8	12	ENSG00000139182	rs2167285	2006	0.578947	5.93187e-08	-0.551821	0.088956
cis-independent	CD8	12	ENSG00000076067	rs3782235	-58	0.460526	9.45248e-08	-0.852337	0.140143
cis-independent	CD8	12	ENSG00000139192	rs151118790	746	0.230263	1.96734e-07	0.828814	0.140715
cis-independent	CD8	12	ENSG00000127720	rs7295566	-155137	0.828947	2.90189e-07	-1.04341	0.180279
cis-independent	CD8	12	ENSG00000122986	rs149453822	-623132	0.0855263	2.23564e-06	-1.09781	0.209391
cis-independent	CD8	13	ENSG00000120675	rs17553284	366	0.223684	3.28588e-25	-1.3096	0.0742173
cis-independent	CD8	13	ENSG00000125247	rs2786950	36827	0.276316	1.9894e-08	0.889723	0.137166
cis-independent	CD8	13	ENSG00000118939	rs144560777	81326	0.0921053	4.57836e-08	-0.953578	0.152071
cis-independent	CD8	13	ENSG00000032742	rs12019991	-12586	0.539474	2.01272e-07	-0.863144	0.146692
cis-independent	CD8	13	ENSG00000188243	rs9543962	-4811	0.197368	1.48379e-06	-0.444917	0.0831083
cis-independent	CD8	13	ENSG00000151773	rs7320988	-35540	0.506579	2.49645e-06	-0.743631	0.14265
cis-independent	CD8	13	ENSG00000083642	rs2858212	-293833	0.598684	3.53619e-06	0.543703	0.106227
cis-independent	CD8	14	ENSG00000165502	rs34707018	-4869	0.756579	7.91456e-13	0.893037	0.0981819
cis-independent	CD8	14	ENSG00000183828	rs66956754	7965	0.605263	3.55465e-12	0.833304	0.0957271
cis-independent	CD8	14	ENSG00000140092	rs2267989	-74189	0.513158	5.16604e-11	-0.679733	0.0848101
cis-independent	CD8	14	ENSG00000256053	rs7142769	199543	0.276316	1.85073e-08	-0.863563	0.132751
cis-independent	CD8	14	ENSG00000177465	rs11621630	35897	0.361842	4.6958e-07	0.695583	0.122883
cis-independent	CD8	15	ENSG00000166839	rs4238397	-24938	0.625	8.86977e-21	-1.14653	0.0803887
cis-independent	CD8	15	ENSG00000248905	rs345783	-91137	0.236842	1.63896e-11	1.33153	0.160231
cis-independent	CD8	15	ENSG00000185043	rs62019348	143347	0.0723684	9.44604e-10	-1.64272	0.225965
cis-independent	CD8	15	ENSG00000137764	rs4776370	69469	0.309211	3.34214e-08	0.796938	0.125458
cis-independent	CD8	15	ENSG00000140474	rs56694743	200919	0.322368	5.85733e-08	0.659466	0.106253
cis-independent	CD8	15	ENSG00000188659	rs114586219	-17213	0.0986842	2.73328e-07	1.20605	0.207812
cis-independent	CD8	15	ENSG00000137845	rs7161799	-271384	0.0723684	1.08817e-06	0.698633	0.128504
cis-independent	CD8	15	ENSG00000128928	rs4924443	-130320	0.75	1.14321e-06	0.576183	0.106239
cis-independent	CD8	16	ENSG00000125148	rs1580833	2153	0.368421	1.88232e-13	-0.770977	0.0813927
cis-independent	CD8	16	ENSG00000178952	rs8049439	-20155	0.421053	1.15484e-10	0.553023	0.0708249
cis-independent	CD8	16	ENSG00000185324	rs148588932	5921	0.0657895	2.57023e-10	-1.93597	0.254624
cis-independent	CD8	16	ENSG00000169715	rs1610215	137	0.480263	2.1898e-08	0.586005	0.0906894
cis-independent	CD8	16	ENSG00000130731	chr16:652677:C:G	16334	0.177632	1.60488e-07	0.674118	0.113422
cis-independent	CD8	16	ENSG00000261740	rs79379134	826831	0.486842	5.46553e-07	-0.612374	0.108958
cis-independent	CD8	17	ENSG00000170291	rs222843	-8755	0.335526	1.15979e-16	0.857326	0.0747168
cis-independent	CD8	17	ENSG00000141698	rs4796744	103987	0.703947	1.76735e-13	-1.09701	0.11561
cis-independent	CD8	17	ENSG00000006282	rs9890200	4103	0.368421	1.69033e-12	-1.0938	0.122927
cis-independent	CD8	17	ENSG00000172057	rs4794820	5489	0.578947	1.83979e-12	0.883418	0.0995293
cis-independent	CD8	17	ENSG00000141560	rs2280251	522	0.434211	3.39654e-11	-0.918051	0.113025
cis-independent	CD8	17	ENSG00000141232	rs4533325	-34256	0.703947	3.13108e-10	-0.79449	0.105193
cis-independent	CD8	17	ENSG00000276070	rs147291617	-109467	0.230263	7.44007e-10	1.0041	0.136968
cis-independent	CD8	17	ENSG00000214087	rs77740144	-41840	0.164474	8.10991e-10	-1.29289	0.176893
cis-independent	CD8	17	ENSG00000169738	rs4969479	-2762	0.125	3.79487e-09	1.03371	0.149529
cis-independent	CD8	17	ENSG00000263715	rs62063281	341074	0.256579	2.60599e-08	0.930177	0.144963
cis-independent	CD8	17	ENSG00000167363	rs2246559	-12378	0.690789	4.50216e-08	0.808256	0.128807
cis-independent	CD8	17	ENSG00000132376	rs56157500	-8059	0.230263	6.94841e-08	0.800027	0.129829
cis-independent	CD8	17	ENSG00000167914	rs112570995	6695	0.0789474	7.54478e-08	1.6752	0.272804
cis-independent	CD8	17	ENSG00000073969	rs11651642	-48918	0.552632	1.11297e-07	-0.841138	0.139278
cis-independent	CD8	17	ENSG00000266714	rs8077689	-5431	0.0855263	1.56919e-07	1.2565	0.2112
cis-independent	CD8	17	ENSG00000176974	rs2605141	-102639	0.690789	1.68763e-07	0.57829	0.0975149
cis-independent	CD8	17	ENSG00000173065	rs11652544	113746	0.203947	2.0154e-07	-0.725109	0.123241
cis-independent	CD8	17	ENSG00000141504	rs12939472	-58382	0.453947	2.24198e-07	0.483236	0.0825243
cis-independent	CD8	17	ENSG00000141556	rs74530485	118362	0.171053	7.86204e-07	1.14837	0.207904
cis-independent	CD8	17	ENSG00000132507	rs7503161	-2355	0.565789	8.26036e-07	-0.435973	0.0791188
cis-independent	CD8	17	ENSG00000214941	rs34291924	-13510	0.486842	8.73216e-07	-0.766936	0.139556
cis-independent	CD8	17	ENSG00000141295	rs11652164	-42618	0.230263	1.90389e-06	-0.858669	0.162433
cis-independent	CD8	17	ENSG00000166260	rs2877636	-39972	0.309211	1.9757e-06	-0.791658	0.150041
